t,speed_now,speed_ref,yaw_now,yaw_ref,yaw_err_deg,steer,accel,traj_x,traj_y
0.1,0.0,3.0,-1.593737006187439,-1.593737006187439,0.0,-3.038706381630618e-05,1.5,199.989990234375,230.59999084472656
0.2,0.0002657985605765134,3.0,-1.593737006187439,-1.593737006187439,0.0,-3.038706381630618e-05,1.5,199.989990234375,230.59999084472656
0.30000000000000004,0.001030454644933343,3.0,-1.593737006187439,-1.593737006187439,0.0,-3.038706381630618e-05,1.5,199.989990234375,230.59999084472656
0.4,0.001100997906178236,3.0,-1.593737006187439,-1.593737006187439,0.0,-3.038706381630618e-05,1.5,199.989990234375,230.59999084472656
0.5,0.0008452034089714289,3.0,-1.593737006187439,-1.593737006187439,0.0,-3.038706381630618e-05,1.5,199.989990234375,230.59999084472656
0.6000000000000001,0.00039803507388569415,3.0,-1.593737006187439,-1.593737006187439,0.0,-3.038706381630618e-05,1.5,199.989990234375,230.59999084472656
0.7000000000000001,0.0002159404830308631,3.0,-1.593737006187439,-1.593737006187439,0.0,-3.038706381630618e-05,1.5,199.989990234375,230.59999084472656
0.8,0.7988564372062683,3.0,-1.59407639503479,-1.593737006187439,0.0194455485670263,-0.0018700509099289775,1.5,199.9870147705078,230.46783447265625
0.9,1.277517557144165,3.0,-1.5938398838043213,-1.593737006187439,0.005894453253721004,-0.0035070644225925207,1.5,199.9803009033203,230.15501403808594
1.0,1.7335842847824097,3.0,-1.5935758352279663,-1.593737006187439,-0.00923441575785724,-0.0041391123086214066,1.2530949115753174,199.9705352783203,229.6990509033203
1.1,2.200514078140259,3.0,-1.5948913097381592,-1.593737006187439,0.06613672173323347,0.00812540017068386,0.8095116019248962,199.9553680419922,229.1057586669922
1.2000000000000002,2.4642159938812256,3.0,-1.595884084701538,-1.593737006187439,0.12301853714109966,-0.008175991475582123,0.558994710445404,199.94241333007812,228.63743591308594
1.3,2.7703728675842285,3.0,-1.594351887702942,-1.593737006187439,0.03523011573892577,-0.0046674045734107494,0.2681458294391632,199.92530822753906,227.8488006591797
1.4000000000000001,2.9877429008483887,3.0,-1.5934278964996338,-1.593737006187439,-0.017710680517843063,-9.197703548124991e-06,0.06164424866437912,199.90663146972656,226.9822235107422
1.5,3.0139102935791016,3.0,-1.5929827690124512,-1.593737006187439,-0.043214606878670674,-0.0024620573967695236,0.03625936433672905,199.88682556152344,226.072021484375
1.6,2.761871337890625,3.0,-1.595776081085205,-1.593737006187439,0.1168303857530681,-0.0093159768730402,0.2762221395969391,199.86386108398438,225.22808837890625
1.7000000000000002,2.911025285720825,3.0,-1.59404718875885,-1.593737006187439,0.017772152220373177,0.0002002842811634764,0.13452589511871338,199.8456573486328,224.37864685058594
1.8,3.0416996479034424,3.0,-1.5931631326675415,-1.593737006187439,-0.03288053066444138,0.0005671231192536652,0.010105577297508717,199.82626342773438,223.4817352294922
1.9000000000000001,3.001192569732666,3.0,-1.592864990234375,-1.593737006187439,-0.04996283377864327,0.024265551939606667,0.04823111742734909,199.80650329589844,222.57305908203125
2.0,2.983093738555908,3.0,-1.5950324535369873,-1.593737006187439,0.07422366571052856,-0.006391478236764669,0.06576504558324814,199.78224182128906,221.67979431152344
2.1,3.019988536834717,3.0,-1.5938245058059692,-1.593737006187439,0.005013358850789359,-0.0042954073287546635,0.030515320599079132,199.76266479492188,220.77740478515625
2.2,3.0107972621917725,3.0,-1.5932588577270508,-1.593737006187439,-0.027395888760921146,-0.002463746350258589,0.039087917655706406,199.749755859375,220.1739044189453
2.3000000000000003,3.000990629196167,3.0,-1.594847321510315,-1.593737006187439,0.06361638192949877,0.0038716248236596584,0.0483834370970726,199.72091674804688,218.97360229492188
2.4000000000000004,2.9989209175109863,3.0,-1.5949920415878296,-1.593737006187439,0.07190823158189424,-0.003961530514061451,0.050387997180223465,199.7060546875,218.3746795654297
2.5,3.0175774097442627,3.0,-1.5935434103012085,-1.593737006187439,-0.011092227212100706,0.00037738800165243447,0.03238800913095474,199.68673706054688,217.4698028564453
2.6,2.996774673461914,3.0,-1.5931501388549805,-1.593737006187439,-0.033625021283972774,-0.002885656664147973,0.05210874602198601,199.6669464111328,216.56837463378906
2.7,3.0115299224853516,3.0,-1.5924619436264038,-1.593737006187439,-0.07305570336245638,0.02514583431184292,0.03796371445059776,199.6481170654297,215.66665649414062
2.8000000000000003,3.0042407512664795,3.0,-1.5949193239212036,-1.593737006187439,0.06774181618818646,-0.00794509518891573,0.04477917402982712,199.6233673095703,214.7645263671875
2.9000000000000004,3.008553981781006,3.0,-1.5935992002487183,-1.593737006187439,-0.00789569868053474,-0.00020921809482388198,0.04066915065050125,199.60423278808594,213.8649139404297
3.0,3.007861375808716,3.0,-1.592736005783081,-1.593737006187439,-0.05735309846059707,0.0010458460310474038,0.041074711829423904,199.58502197265625,212.95977783203125
3.1,2.9968976974487305,3.0,-1.5925601720809937,-1.593737006187439,-0.06742762748636588,0.02455396018922329,0.05154421553015709,199.565673828125,212.0608367919922
3.2,3.033022403717041,3.0,-1.5948013067245483,-1.593737006187439,0.060979928909873825,-0.0062315152026712894,0.016804341226816177,199.5412139892578,211.15408325195312
3.3000000000000003,2.98858904838562,3.0,-1.5936521291732788,-1.593737006187439,-0.004863094689049078,-0.004273252561688423,0.05900460109114647,199.521728515625,210.25222778320312
3.4000000000000004,3.013817548751831,3.0,-1.5930960178375244,-1.593737006187439,-0.03672592716715856,-0.002311071613803506,0.03501102700829506,199.5089874267578,209.6531982421875
3.5,3.014824151992798,3.0,-1.5926085710525513,-1.593737006187439,-0.06465457068334068,0.0235221516340971,0.03364545851945877,199.4896240234375,208.7447967529297
3.6,2.9919302463531494,3.0,-1.5949070453643799,-1.593737006187439,0.06703830670367515,-0.007981184870004654,0.055496878921985626,199.4652099609375,207.84654235839844
3.7,3.036203384399414,3.0,-1.5935949087142944,-1.593737006187439,-0.008141585490655199,-0.00020506253349594772,0.012999961152672768,199.44593811035156,206.93960571289062
3.8000000000000003,2.9856178760528564,3.0,-1.5927238464355469,-1.593737006187439,-0.05804977775593837,0.0009671776788309216,0.061053406447172165,199.4267578125,206.03775024414062
3.9000000000000004,3.035640239715576,3.0,-1.5960441827774048,-1.593737006187439,0.1321914811964268,-0.011000377126038074,0.013295136392116547,199.4016876220703,205.135498046875
4.0,2.991713047027588,3.0,-1.5939093828201294,-1.593737006187439,0.009876453539838438,-0.0013348233187571168,0.05487244203686714,199.3826446533203,204.23069763183594
4.1000000000000005,3.0271167755126953,3.0,-1.593379020690918,-1.593737006187439,-0.020511058077548293,-0.0041403453797101974,0.02105581946671009,199.3627166748047,203.3289031982422
4.2,2.985520839691162,3.0,-1.5926873683929443,-1.593737006187439,-0.060139815641962274,0.00043976708548143506,0.060505304485559464,199.34368896484375,202.42591857910156
4.3,3.0191895961761475,3.0,-1.5955711603164673,-1.593737006187439,0.1050892905698162,-0.007264438550919294,0.028473427519202232,199.3193359375,201.52685546875
4.4,3.0046889781951904,3.0,-1.5940988063812256,-1.593737006187439,0.0207296241309887,0.00037256928044371307,0.042155664414167404,199.30665588378906,200.9243927001953
4.5,2.9979629516601562,3.0,-1.5932552814483643,-1.593737006187439,-0.027600794436021526,0.0002538067346904427,0.0486004576086998,199.28712463378906,200.02561950683594
4.6000000000000005,3.0032830238342285,3.0,-1.5929089784622192,-1.593737006187439,-0.04744249397490857,-0.002621995285153389,0.04346493259072304,199.267578125,199.12423706054688
4.7,2.9948930740356445,3.0,-1.5957860946655273,-1.593737006187439,0.11740412164334918,-0.010269132442772388,0.05152083560824394,199.24325561523438,198.22613525390625
4.800000000000001,3.0317046642303467,3.0,-1.5939252376556396,-1.593737006187439,0.010784868699450135,-0.0034745079465210438,0.01614963822066784,199.2239227294922,197.31956481933594
