t,speed_now,speed_ref,yaw_now,yaw_ref,yaw_err_deg,steer,accel,traj_x,traj_y
0.1,0.0,3.0,-1.593737006187439,-1.593737006187439,0.0,-0.0010422950144857168,1.5,199.989990234375,230.59999084472656
0.2,0.0002657985605765134,3.0,-1.593737006187439,-1.593737006187439,0.0,-0.0010422950144857168,1.5,199.989990234375,230.59999084472656
0.30000000000000004,0.001030454644933343,3.0,-1.593737006187439,-1.593737006187439,0.0,-0.0010422950144857168,1.5,199.989990234375,230.59999084472656
0.4,0.001100997906178236,3.0,-1.593737006187439,-1.593737006187439,0.0,-0.0010422950144857168,1.5,199.989990234375,230.59999084472656
0.5,0.0008452034089714289,3.0,-1.593737006187439,-1.593737006187439,0.0,-0.0010422950144857168,1.5,199.989990234375,230.59999084472656
0.6000000000000001,0.00039803507388569415,3.0,-1.593737006187439,-1.593737006187439,0.0,-0.0010422950144857168,1.5,199.989990234375,230.59999084472656
0.7000000000000001,0.0002159404830308631,3.0,-1.593737006187439,-1.593737006187439,0.0,-0.0010422950144857168,1.5,199.989990234375,230.59999084472656
0.8,0.8172994256019592,3.0,-1.5935349464416504,-1.593737006187439,-0.011577170643171611,-0.0011089255567640066,1.5,199.9871063232422,230.46966552734375
0.9,1.27630615234375,3.0,-1.5937550067901611,-1.593737006187439,0.0010313585646719253,0.002538308734074235,1.5,199.9803924560547,230.16082763671875
1.0,1.7202808856964111,3.0,-1.594146966934204,-1.593737006187439,0.023489020555673847,0.0006897958228364587,1.2657331228256226,199.9691925048828,229.70809936523438
1.1,2.1885411739349365,3.0,-1.5942591428756714,-1.593737006187439,0.029916228564655842,-0.00039056295645423234,0.8208858370780945,199.95518493652344,229.11866760253906
1.2000000000000002,2.5685322284698486,3.0,-1.5940594673156738,-1.593737006187439,0.018475661704884492,-0.0012483523460105062,0.4598943293094635,199.93861389160156,228.4007110595703
1.3,2.845893383026123,3.0,-1.593676209449768,-1.593737006187439,-0.003483396476706503,-0.0011135459644719958,0.1964011937379837,199.9202423095703,227.58547973632812
1.4000000000000001,3.0304460525512695,3.0,-1.594015121459961,-1.593737006187439,0.015934831333639748,0.001173842349089682,0.020923946052789688,199.89950561523438,226.70065307617188
1.5,3.0148680210113525,3.0,-1.594197154045105,-1.593737006187439,0.02636453019624922,-0.0008019322413019836,0.03522232547402382,199.8778839111328,225.79026794433594
