throttle,velocity,acceleration
0.30,0.944098,0.001884
0.30,0.941589,0.001819
0.30,0.944265,0.001744
0.32,0.027827,0.000000
0.32,0.021349,0.000000
0.32,0.023451,0.000000
0.32,0.077953,0.000000
0.32,0.018863,-0.044823
0.32,0.043616,0.111335
0.32,0.008089,-0.076807
0.32,0.062197,-0.078782
0.32,0.012035,-0.034141
0.32,0.082100,0.192420
0.32,0.030526,0.112182
0.32,0.097976,0.178894
0.32,0.146497,0.672314
0.32,0.198284,0.580920
0.32,0.148860,0.591672
0.32,0.178444,0.402342
0.32,0.209963,0.317330
0.32,0.317022,0.593690
0.32,0.323956,0.875482
0.32,0.310898,0.662268
0.32,0.405106,0.975712
0.32,0.424572,0.537751
0.32,0.457936,0.669899
0.32,0.448727,0.689148
0.32,0.438310,0.166020
0.32,0.454159,0.147934
0.32,0.484056,0.130598
0.32,0.478698,0.149856
0.32,0.526097,0.438938
0.32,0.570134,0.579876
0.32,0.571931,0.439374
0.32,0.569649,0.454751
0.32,0.579033,0.264676
0.32,0.618566,0.242157
0.32,0.623575,0.258223
0.32,0.619080,0.247156
0.32,0.681782,0.513749
0.32,0.670786,0.261101
0.32,0.677773,0.270989
0.32,0.692029,0.364749
0.32,0.709144,0.136806
0.32,0.721617,0.254153
0.32,0.729284,0.257554
0.32,0.743632,0.258015
0.32,0.754359,0.226079
0.32,0.764427,0.214052
0.32,0.775875,0.232952
0.32,0.775327,0.158471
0.32,0.784027,0.148339
0.32,0.793472,0.145227
0.32,0.797451,0.107882
0.32,0.801630,0.131518
0.32,0.811359,0.136661
0.32,0.820695,0.136115
0.32,0.825561,0.140552
0.32,0.830223,0.142962
0.32,0.839633,0.141367
0.32,0.848732,0.140181
0.32,0.853783,0.141108
0.32,0.858642,0.142094
0.32,0.867416,0.138918
0.32,0.875918,0.135935
0.32,0.881003,0.136098
0.32,0.885907,0.136328
0.32,0.893826,0.132050
0.32,0.901561,0.128214
0.32,0.906719,0.128581
0.32,0.911645,0.128690
0.32,0.918476,0.123247
0.32,0.925282,0.118604
0.32,0.930545,0.119132
0.32,0.935485,0.119200
0.32,0.941193,0.113584
0.32,0.946949,0.108336
0.32,0.952102,0.107785
0.32,0.957005,0.107601
0.32,0.961950,0.103788
0.32,0.966823,0.099369
0.32,0.971507,0.097024
0.32,0.976056,0.095251
0.32,0.980467,0.092586
0.32,0.984780,0.089786
0.32,0.988953,0.087227
0.32,0.993027,0.084857
0.32,0.996974,0.082534
0.32,1.000816,0.080176
0.32,1.004548,0.077979
0.32,1.008187,0.075798
0.32,1.011711,0.073685
0.32,1.015151,0.071676
0.32,1.018483,0.069676
0.32,1.021738,0.067759
0.32,1.024887,0.065877
0.32,1.027957,0.064028
0.32,1.030928,0.062225
0.32,1.033837,0.060494
0.32,1.036645,0.058793
0.32,1.039381,0.057123
0.32,1.042032,0.055520
0.32,1.044622,0.053925
0.32,1.047128,0.052415
0.32,1.049575,0.050969
0.32,1.051944,0.049560
0.32,1.054254,0.048158
0.32,1.056482,0.046770
0.32,1.058666,0.045455
0.32,1.060782,0.044187
0.32,1.062843,0.042944
0.32,1.064836,0.041767
0.32,1.066784,0.040592
0.32,1.068661,0.039395
0.32,1.070499,0.038282
0.32,1.072274,0.037190
0.32,1.074009,0.036123
0.32,1.075685,0.035119
0.32,1.077320,0.034104
0.32,1.078906,0.033161
0.32,1.080458,0.032248
